team_abbr,team_name,team_id,team_nick,helmet_url,alt_logos,alt_wordmarks,,,,,,,,,,,alt_logos_2
LA,Los Angeles Rams,2510,Rams,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/rams_helmet.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/historical_logos/old_rams_logo.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/nfl_alt_wordmarks/rams_alt_wordmark.png,,,,,,,,,,,
LAC,Los Angeles Chargers,4400,Chargers,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/chargers_helmet.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/historical_logos/old_chargers_logo.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/nfl_alt_wordmarks/chargers_alt_wordmark.png,,,,,,,,,,,
LV,Las Vegas Raiders,2520,Raiders,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/raiders_helmet.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/historical_logos/old_raiders_logo.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/nfl_alt_wordmarks/raiders_alt_wordmark.png,,,,,,,,,,,
MIA,Miami Dolphins,2700,Dolphins,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/dolphins_helmet.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/historical_logos/old_dolphins_logo.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/nfl_alt_wordmarks/dolphins_alt_wordmark.png,,,,,,,,,,,
MIN,Minnesota Vikings,3000,Vikings,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/vikings_helmet.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/historical_logos/old_vikings_logo.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/nfl_alt_wordmarks/vikings_alt_wordmark.png,,,,,,,,,,,
NE,New England Patriots,3200,Patriots,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/patriots_helmet.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/historical_logos/old_patriots_logo.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/nfl_alt_wordmarks/patriots_alt_wordmark.png,,,,,,,,,,,
NO,New Orleans Saints,3300,Saints,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/saints_helmet.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/historical_logos/old_saints_logo.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/nfl_alt_wordmarks/saints_alt_wordmark.png,,,,,,,,,,,
NYG,New York Giants,3410,Giants,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/giants_helmet.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/historical_logos/old_giants_logo.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/nfl_alt_wordmarks/giants_alt_wordmark.png,,,,,,,,,,,
NYJ,New York Jets,3430,Jets,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/jets_helmet.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/historical_logos/old_jets_logo.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/nfl_alt_wordmarks/jets_alt_wordmark.png,,,,,,,,,,,
PHI,Philadelphia Eagles,3700,Eagles,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/eagles_helmet.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/historical_logos/old_eagles_logo.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/nfl_alt_wordmarks/eagles_alt_wordmark.png,,,,,,,,,,,
PIT,Pittsburgh Steelers,3900,Steelers,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/steelers_helmet.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/historical_logos/old_steelers_logo.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/nfl_alt_wordmarks/steelers_alt_wordmark.png,,,,,,,,,,,
SEA,Seattle Seahawks,4600,Seahawks,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/seahawks_helmet.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/historical_logos/old_seahawks_logo.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/nfl_alt_wordmarks/seahawks_alt_wordmark.png,,,,,,,,,,,
SF,San Francisco 49ers,4500,49ers,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/49ers_helmet.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/historical_logos/old_49ers_logo.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/nfl_alt_wordmarks/49ers_alt_wordmark.png,,,,,,,,,,,
TB,Tampa Bay Buccaneers,4900,Buccaneers,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/bucs_helmet.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/historical_logos/old_bucs_logo.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/nfl_alt_wordmarks/bucs_alt_wordmark.png,,,,,,,,,,,
TEN,Tennessee Titans,2100,Titans,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/titans_helmet.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/historical_logos/old_titans_logo.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/nfl_alt_wordmarks/titans_alt_wordmark.png,,,,,,,,,,,
WAS,Washington Commanders,5110,Commanders,https://raw.githubusercontent.com/bcongelio/nfl_helmet_logos/main/nfl_helmet_logos/commanders_helmet.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/historical_logos/old_commanders_logo.png,https://raw.githubusercontent.com/bcongelio/nfl_alt_logos/main/nfl_alt_wordmarks/commanders_alt_wordmark.png,,,,,,,,,,,
